TCR_id,labels,preds
20364,0,0.0028054118156433105
19406,0,0.0007976293563842773
20771,0,0.0003434717655181885
18471,0,7.441339403158054e-05
19593,0,0.00026237964630126953
20603,0,1.779249600986077e-06
21157,0,1.2120683550165268e-06
18995,0,8.41629080241546e-05
20266,0,6.9262910074030515e-06
18651,0,0.0008507966995239258
19126,0,1.2227408660692163e-05
19467,0,0.11177453398704529
19426,0,0.2626339793205261
20471,0,4.280290158931166e-05
18556,0,0.00034686923027038574
20130,0,0.005476236343383789
19314,0,0.010066002607345581
19009,0,8.726304940864793e-07
18699,0,6.294428021647036e-05
18372,0,7.434643339365721e-05
21236,0,0.005121350288391113
19742,0,8.676871948409826e-05
20140,0,0.05274859070777893
19335,0,0.012562215328216553
18501,0,0.008061140775680542
20710,0,0.0010198354721069336
19295,0,0.0023483633995056152
18511,0,1.0919596206804272e-05
18437,0,0.004336446523666382
19020,0,2.592694272607332e-06
18988,0,9.274121737234964e-08
18443,0,4.531335434876382e-06
18398,0,1.3069830856693443e-05
19104,0,1.1403286407585256e-05
20249,0,8.106304449029267e-05
19161,0,3.528953584464034e-06
18806,0,0.006977260112762451
19263,0,0.0003313720226287842
20706,0,0.141381174325943
18708,0,2.250565194117371e-05
2412,1,0.998347282409668
19124,0,1.0760653822217137e-05
21183,0,0.04837670922279358
20660,0,0.00043445825576782227
18396,0,0.0006833970546722412
20751,0,0.20624873042106628
21189,0,0.01183047890663147
19741,0,0.002747774124145508
20678,0,0.001107335090637207
19198,0,0.0002981126308441162
19541,0,0.007274448871612549
21062,0,3.121458212262951e-05
20062,0,7.656246452825144e-05
20665,0,0.002742379903793335
20368,0,0.0012532174587249756
18707,0,1.7071440083782363e-07
18448,0,2.9978316888445988e-05
19552,0,0.00045484304428100586
19992,0,7.848516361264046e-06
19527,0,4.091548180440441e-05
19866,0,7.943993296066765e-06
18370,0,5.344355145098234e-07
20677,0,0.00016567111015319824
20399,0,1.1780427939811489e-06
19619,0,4.891481148661114e-05
20214,0,0.000354766845703125
21031,0,0.0001277327537536621
19644,0,1.1344013728376012e-06
20110,0,0.005097776651382446
18617,0,0.00785750150680542
2402,1,0.9988497495651245
20235,0,1.8894254026236013e-05
19100,0,0.00010176732030231506
19452,0,5.003349770049681e-07
19778,0,0.07066363096237183
18911,0,0.0007494091987609863
20180,0,7.113582114470773e-07
20198,0,3.14880026053288e-07
19225,0,6.556014113812125e-07
18660,0,0.00022420287132263184
